"uid","name","fundCodes","workDay","return","optimal","optimalName"
"30359091","杜飞","005552,005553,450007",2045,44.79,"450007","国富成长动力混合"
"30680248","董福焱","009387,009388,009649,009650,070011",547,99.14,"070011","嘉实策略混合"
"30053793","戴钢","000289,000295,000296,001329,001330,001950,002395,002396,002504,002505,006057,007682,160621,206013",3362,89.91,"160621","鹏华丰和债券(LOF)A"
"30686324","杜广","001250,001447,001484,006898,006899,009512,010118,010119,164206,164208",463,27.25,"001447","天弘惠利混合"
"30687281","杜国昊","003126,003127,003869,004887,005134,005135,005718,007428",449,11.08,"003126","长信易进混合A"
"30368303","董浩","000493,000494,000495,000719,002324,002325,006491,006492,007521,008256,008257,008626,008627,160123,160124,202307,202308",1989,19.13,"000495","南方现金通C"
"30074226","董晗","000385,000386,008999,009000,010011,010012",3398,5.69,"000385","景顺长城景颐双利债券A"
"30699100","笪篁","004394,010303,010304",285,57.72,"004394","华泰柏瑞量化创优混合"
"30078418","代宏坤","008461,008462",421,71.57,"008461","平安盈丰三个月持有混合(FOF)A"
"30553990","杜浩然","952020,952024,952035,952320",332,49.33,"952035","国君资管君得诚混合"
"30037206","杜海涛","485005,485014,485105,485114",5644,145.4,"485114","工银添颐债券A"
"30685172","邓皓友","159958,512320,516060,516600",480,93.83,"159958","工银瑞信创业板ETF"
"30176853","戴鹤忠","003132,008486",1710,138.08,"003132","德邦新回报灵活配置混合"
"30349623","戴军","002319,010738,010739,160916,160921",2102,113.4,"002319","大成一带一路灵活配置混合"
"30130611","丁进","001019,001257,001258,002301,002338,002769,002870,004242,005717,005984,005985,008222,008392,008896",2094,38.9,"001257","兴业收益增强债券A"
"30485180","戴骏","002425,002586,002587,004033,004333,005010,005011,162108,210006",1584,28.36,"002425","金鹰元禧混合C"
"30518527","戴杰","003889,003890,005109,005110,005550,005551,006648,006649,008251,008252,009564,009565",1495,353.4,"003889","汇安丰泽混合A"
"30673731","邓娟","000575,004417,340005",614,4.56,"004417","兴全货币B"
"30564068","董瑾","003194,008907,008908,501043,501045,501047,501048,515310,517080",444,51.58,"501043","汇添富沪深300指数A"
"30130646","邓敬东","000418,001506,001507,001535,007945,010104,010105",281,62.9,"001535","景顺长城改革机遇灵活配置A"
"30180836","丁靖斐","001088,011068,240022",534,96.3,"240022","华宝资源优选混合A"
"30642643","戴计辉","000511,000953,000954,002062,002458,002489,003955,010832,010833,501027",795,49.8,"000511","国泰国策驱动灵活配置混合A"
"30079144","邓炯鹏","011587",11,NaN,"",""
"30705089","杜钧天","004865,004866,006181,006182,007710,007711,008484,008485,009407,009408,010145,010146,010837,010838",234,136.09,"010837","格林泓景债券A"
"30677830","戴家伟","159973,159986",565,111.88,"159973","弘毅远方民企领先100ETF"
"30675846","董季周","001970,002580,290011",585,147.53,"290011","泰信中小盘精选混合"
"30719505","丁凯琳","008145",73,11.75,"008145","兴全优选进取三个月持有(FOF)"
"30166843","董梁","002210,002310,002311,002315,002316,003241,003242,003646,003647,003865,004359,004360,007354,007357,008768,008769,009513,009514",1283,107.42,"002315","创金合信沪深300指数增强C"
"30334871","董理","007449,007450,163412",1763,83.52,"163412","兴全轻资产混合(LOF)"
"30525554","杜磊","000700,001894,001895,003073,003074,003711,003712,003767,003768,003793,003794,007640,162206,162215",1315,12.53,"162215","泰达宏利聚利债券(LOF)"
"30710470","丁琳","001609,001610,002304,002598,002599,006720,006721,007048,007925",192,41.32,"002304","平安安心灵活配置混合A"
"30574263","董鎏洋","000981,000982",1053,7.57,"000982","北信瑞丰现金添利B"
"30074106","杜猛","010610,375010,377240",3510,573.1,"377240","上投摩根新兴动力混合A"
"30367887","邓默","000279,000609,001143,010293,630005",1991,194.34,"000609","华商新量化混合"
"30672627","邓明明","002868,003209,003983,004438,006029,006958,007321,007723,011080,160618",626,7.6,"004438","鹏华永安定期开放债券"
"30283423","段鹏","000424,000425,002927,002928,003099,003100,005230,007653,007654,080011",2508,24.59,"080011","长盛货币A"
"30698734","杜沛","003593",289,79.6,"003593","国泰景气行业灵活配置混合"
"30045199","戴奇雷","360010",3511,186.75,"360010","光大均衡精选混合"
"30629535","丁锐","005056,005057,005058,007864,007865,009579,009725,009834",820,5.64,"009725","东方红优质甄选一年持有混合"
"30335555","代瑞亮","005774",2167,33.27,"005774","华夏产业升级混合"
"30276918","董瑞倩","000668,000669,004301,004302,004821,005208,008873,008874",2403,47.69,"000668","国寿安保尊享债券A"
"30648778","邓思聪","001061,001063,001065,001066,002877,002878,002879,002880,009922,009923,010191,010192",768,11.13,"001065","华夏海外收益债券现汇"
"30699737","丁士恒","003515,005253,006597,006598,008278,020007,020031,020032,511620",281,1.71,"005253","国泰货币B"
"30519395","丁孙楠","001367,001401,002441,008448,008449,009071,009072,009574,009575,009780",1488,31.11,"001367","德邦新添利债券A"
"30156331","董山青","001970,002580,002583,290006,290012",3286,126.93,"290012","泰信行业精选混合A"
"30655265","董珊珊","006570,006571,007437,007438,008102,008104,008105,009450",733,5.09,"006571","中金金元C"
"30699742","段涛","002446,010628,011172",278,69.08,"002446","广发利鑫灵活配置混合A"
"30725509","待替换","005252",0,NaN,"",""
"30722029","丁天宇","006981,007005",52,12.97,"006981","中金新医药股票A"
"30192111","段玮婧","003465,005754,005755,005756,005897,006097,007730,007758,007759,008596,008597,009053,009148,009406,009453,010035,010048",1507,14.51,"003465","平安金管家货币A"
"30298306","陈启明","002064,003152,003153,009398,410003,410007",2339,317.05,"410007","华富价值增长混合"
"30665951","蔡荣成","110002,112002",663,26.62,"112002","易方达策略成长二号混合"
"30047073","陈若劲","006061,006064,006700,006701,009077,009078",4067,26.46,"006700","红土创新稳健混合A"
"30424662","蔡若林","009475,009748,540001,540005,541005",1848,18.68,"540001","汇丰晋信2016周期混合"
"30698282","车日楠","002068,003837,003838,006212,006213,400023",296,12.92,"400023","东方多策略灵活配置混合A"
"30285598","曹思","000966,590006",2461,71.5,"000966","中邮核心科技创新灵活配置混合"
"30681090","程书峰","000861,004972,004973,008309,008310,009829,009830,200003,200103",542,4.56,"004973","长城收益宝货币B"
"30065466","陈士俊","005865,005866,007410,007411,009374,009375,159810,166402,512590,515780,519116,519117",3725,169.89,"519116","浦银安盛沪深300指数增强"
"30642828","陈诗昆","005489,005490,007697,007698,009158",792,46.22,"005489","中金衡优灵活配置混合A"
"30176296","陈曙亮","007401,007402",1864,3.14,"007401","浦银颐和稳健养老一年(FOF)A"
"30040189","陈少平","001468",4922,123.82,"001468","广发改革混合"
"30655271","蔡嵩松","002560,320007",731,151.32,"320007","诺安成长混合"
"30125081","崔书田","001740",234,55.53,"001740","光大中国制造2025混合"
"30541661","崔思维","000087,000088,002550,004066,007589,007670,008015,008016,009772,009773,159926",1325,16.94,"002550","嘉实稳荣债券"
"30136178","陈舒薇","519696",409,35.86,"519696","交银环球精选混合(QDII)"
"30362197","陈思郁","001009,373020",2027,160.13,"001009","上投摩根安全战略股票"
"30572209","陈斯扬","004902,005078,005121,511310",1069,37.68,"005121","富国兴利增强债券"
"30362195","程桯","005250,005848,009017,009977,009978,161837",1850,117.31,"161837","银华大盘两年定开混合"
