"uid","name","score","experience","combat","defense","stability","position","annualReturn","goodAt","hoppingRate","workDay"
"30040408","王茜","5.54","10","8.9","3.21","2.7","4.71","5.75","债券型","8.54","6231"
"30039950","杨建华","4.56","9.98","4.33","0.76","5.35","5.65","15.43","混合型","16.68","6087"
"30040233","过钧","7.36","9.96","6.09","6.82","7.68","7.73","10.26","混合型","7.8","6029"
"30036321","魏东","3.35","9.97","0.67","0.16","3.33","8.49","15.5","混合型","8.21","5996"
"30040332","毛从容","6.13","9.98","7.38","6.59","1.62","7.85","7.28","债券型","15.73","5743"
"30037206","杜海涛","4.56","9.95","8.2","1.79","1.28","3.97","6.4","债券型","7.73","5644"
"30040544","朱少醒","5.59","9.97","8.16","1.95","5.02","4.52","23.82","混合型","15.27","5575"
"30037457","毕天宇","4.42","9.91","3.47","1.04","5.93","4.56","12.02","混合型","14.25","5565"
"30040506","张文琍","5.6","9.94","6.45","3.8","4.9","4.57","4.07","债券型","14.81","5565"
"30040459","杨谷","4.59","9.93","3.25","5.3","4.27","1.12","21.14","混合型","15.01","5477"
"30036316","王旭巍","6.12","9.83","6.43","4.44","4.86","7.65","6.38","债券型","3.51","5433"
"30040634","赵航","NaN","9.96","NaN","0","NaN","NaN","4.47","债券型","7.29","5321"
"30040529","郑煜","6.33","9.94","8.83","2.49","7.58","2.86","15.18","混合型","11.65","5307"
"30040436","谢军","6.41","9.89","3.95","3.16","9.73","7.73","5.37","债券型","13.69","5275"
"30060264","苏圻涵","6.58","10","5.26","3.51","9.48","6.15","9.51","QDII","10.43","5224"
"30036328","徐荔蓉","5.49","9.92","3.85","5.56","6.25","2.69","22.84","混合型","4.75","5205"
"30040164","曹名长","7.72","9.91","10","5.14","7.86","5.85","18.06","混合型","7.09","5173"
"30040406","王立","6.15","9.86","4.3","8.75","4.86","3.51","6.18","债券型","11.41","5153"
"30040209","董承非","7.3","9.94","9.67","4.28","7.26","6.02","17.23","混合型","13.98","5128"
"30040237","何俊春","5.06","9.91","0.93","4.78","8.11","2.93","3.76","债券型","14.04","5125"
"30040539","周蔚文","6.51","9.72","9.21","4.05","4.41","7.03","25.54","混合型","6.09","5080"
"30037591","应帅","5.06","9.89","8.62","3.78","1.62","2.52","16.92","混合型","13.79","5034"
"30040345","饶刚","5.85","9.9","5.23","6.03","6.01","2.36","8.13","债券型","6.87","5015"
"30038120","阳琨","4.77","9.99","7.36","3.32","1.95","2.87","8.78","混合型","13.7","5002"
"30038091","李琛","3.88","9.87","5.69","1.24","1.39","4.54","18.1","混合型","13.7","5001"
"30040179","陈军","4.35","9.91","2.18","5.53","3.52","2.45","10.9","混合型","6.68","4985"
"30040278","李建","4.5","9.93","8.95","0.91","0.44","5.45","10.98","债券型","13.51","4931"
"30040189","陈少平","4.96","9.86","7.7","2.26","2.39","5.11","2.8","混合型","4.49","4922"
"30037860","严菲","3.99","9.85","5.94","3.85","0.85","0.81","24.49","混合型","6.7","4889"
"30040987","李菁","6.22","9.88","8.14","3.28","4.63","7.79","3.78","债券型","13.32","4858"
"30038277","邹曦","3.86","9.84","0.38","4.29","5.14","1.41","23.07","混合型","13.21","4823"
"30041301","曲波","8.5","9.96","8.93","9.53","8.37","6.43","3.21","货币型","13.1","4782"
"30041150","梅律吾","4.7","9.88","4.85","4.92","1.55","5.26","14.84","指数型","13.04","4759"
"30043115","钱睿南","6.65","9.74","5.23","5.09","8.81","5.22","8.33","混合型","12.31","4742"
"30042301","陆文磊","6.51","9.85","5.64","8.73","4.29","4.88","4.86","债券型","12.97","4734"
"30043326","张军","4.51","9.74","4.74","2.03","5.34","2.09","5.55","QDII","12.96","4732"
"30043465","刘自强","3.48","9.82","3.02","0.69","3.5","3.58","1.03","混合型","12.93","4721"
"30042300","程洲","NaN","9.9","NaN","8.5","5.69","1.12","16.73","股票型","11.89","4706"
